;;Secteur;AGER Nord Eragny;;;;;;;;;;;;;;;;;;;;AGER Nord SD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGER Nord et Est;;;AGER Est;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGER Est et Sud;;;;;AGER Sud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGER Ouest;;;;;;;;;;;;;;;;;;;;;;;;;;;AGER Ouest Nan;;;;;;;;;;;;;;;;;Ville de Paris;;;;;;;;;;;;;;;
;;Axe;A15 Y;A15 Y;A15 W;A15 W;A115 Y;A115 W;N14 Y;N14 W;N184 Int;N184 Int;N184 Int;N184 Int;N184 Ext;N184 Ext;N184 Ext;N184 Ext;N104N Int;N104N Int;N104N Ext;N104N Ext;A1 Y;A1 Y;A1 Y;A1 Y;A1 Y;A1 Y;A1 Y;A1 W;A1 W;A1 W;A1 W;A3 Y;A3 Y;A3 Y;A3 Y;A3 Y;A3 W;A3 W;A3 W;A3 W;A3 W;A104N Int;A104N Ext;A86 Nord Int;A86 Nord Int;A86 Nord Int;A86 Nord Ext;A86 Nord Ext;A86 Nord Ext;;A86 Est Int;A86 Est Ext;;N486 pont Y;N486 pont W;N1104 Int;N1104 Ext;N2 Y;N2 Y;N2 W;N2 W;N3 Y;N3 W;N4 Y;N4 W;N36 Int;N36 Int;N36 Ext;N36 Ext;N330 W;N330 Y;A104 Int;A104 Int;A104 Ext;A104 Ext;A140 W;A140 Y;A4 Y;A4 Y;A4 Y;A4 Y;A4 Y;A4 W;A4 W;A4 W;A4 W;A4 W;N104 Int;N104 Int;N104 Int;N104 Int;N104 Ext;N104 Ext;N104 Ext;N104 Ext;N19 Y;N19 W;N406 Y;N406 W;;A86 SudEst Int;A86 SudEst Int;A86 SudEst Ext;A86 SudEst Ext;;N186 Int;N186 Ext;A86 Sud Int;A86 Sud Ext;A6a Y;A6a Y;A6a W;A6a W;A6b Y;A6b Y;A6b Y;A6b W;A6b W;A6b W;A106 Y;A106 W;N7 Y;N7 W;N6 Y;N6 W;N104 Int;N104 Int;N104 Int;N104 Int;N104 Ext;N104 Ext;N104 Ext;N104 Ext;A6 Y;A6 Y;A6 Y;A6 W;A6 W;A6 W;A10 Y;A10 Cof Y;A10 W;A10 Cof W;A126 Int;A126 Int;A126 Ext;A126 Ext;N118 Y;N118 Y;N118 Y;N118 W;N118 W;N118 W;;N118N Y;N118N W;A86 SO Int;A86 SO Int;A86 SO Ext;A86 SO Ext;N10 Y;N10 W;N12 Y;N12 Y;N12 W;N12 W;A12 Y;A12 Y;A12 W;A12 W;A13 Y;A13 Y;A13 W;A13 W;N13 Y;N13 W;N186 Int;N186 Ext;N184 Int;N184 Ext;;N315 Y;N315 W;A15 Y;A15 W;A14 Y;A14 SAPN Y;A14 W;A14 SAPN W;N13 Y;N13 W;A86 NO Int;A86 NO Int;A86 NO Int;A86 NO Ext;A86 NO Ext;A86 NO Ext;;75BP Int;75BP Int;75BP Int;75BP Int;75BP Int;75BP Int;75BP Int;75BP Int;75BP Ext;75BP Ext;75BP Ext;75BP Ext;75BP Ext;75BP Ext;75BP Ext;75BP Ext
secteur;Axe;section;PR6 a 10;PR10 a 22;PR22 a 10;PR10 a 6;PR0 a 10;PR10 a 0;PR0a100;PR0a100;PR0 a 2;PR2 a 10;PR10 a 14;PR14 a 19;PR2 a 0;PR10 a 2;PR14 a 10;PR19 a 14;PR0 a 9;PR9 a 22;PR9 a 0;PR22 a 9;Chapelle>BDL;Chapelle>Roissy;Chapelle>ADP;Chapelle>SANEF;Soissons>Roissy;Soissons>ADP;Soissons>SANEF;BDL>Chapelle;Roissy>Chapelle;SANEF>Chapelle;SANEF>Roissy;Bagnolet>Rosny;Bagnolet>Bobigny;Bagnolet>Roissy;Bobigny>Roissy;PR16>Roissy;Rosny>Bagnolet;Roissy>Bobigny;Roissy>Bagnolet;ADP>Bagnolet;ADP>Bobigny;A3>77;77>A3;D7>SDF;SDF>BDL;BDL>A3;N410>D7;BDL>N410;A3>BDL;;A3>A4;A4>A3;;PR0a0+561;PR0+280a0;PR0a100;PR0a100;PR 0 a 5;PR 5 a 15;PR 5 a 0;PR 15 a 5;PR0a100;PR0a101;PR0a102;PR0a103;PR31 a 47;PR47 a 65;PR47 a 31;PR65 a 47;PR0a100;PR0a100;PR8 a 15;PR 15 a 29;PR15 a 8;PR29 a 15;PR0a100;PR0a100;PR0 a 4;PR4 a 8;PR8 a 18;PR18 a 21;PR21 a 36;PR4 a 0;PR8 a 4;PR18 a 8;PR21 a 18;PR36 a 18;PR0 a 7;PR7 a 15;PR15 a 20;PR20 a 28;PR7 a 0;PR15 a 7;PR20 a 15;PR28 a 20;PR0a100;PR0a101;PR0a102;PR0a103;;A4>N6;N6>A6;N6>A4;A6>N6;;PR0a100;PR0a100;A6>N20;N20>A6;PR0 a 6;PR6 a 9;PR9 a 4;PR4 a 0;PR0 a 3;PR3 a 7;PR7 a 9;PR9 a 7;PR7 a 4;PR4 a 0;PR0a100;PR0a101;PR0a102;PR0a103;PR0a104;PR0a105;PR28 a 37;PR37 a 40;A6>A10;A10>N118;PR37 a 28;PR40 a 37;A10>A6;N118>A10;PR9 a 25;PR25 a 28;PR28 a 45;PR25 a 9;PR28 a 25;PR45 a 28;PR0 a 14;PR0 a 32;PR14 a 0;PR32 a 0;PR0 a 5;PR5 a 7;PR5 a 0;PR7 a 5;PR0 a 4;PR4 a 15;PR15 a 18;PR4 a 0;PR15 a 4;PR18 a 15;;PR0 a 6;PR6 a 0;PR52 a 59;PR59 a 65;PR59 a 52;PR64 a 59;PR12 a 49;PR49 a 12;PR18 a 28;PR28 a 63;PR28 a 18;PR63 a 28;PR0 a 7;PR7 a 8;PR7 a 0;PR8 a 7;PR0 a 13;PR13 a 25;PR12 a 0;PR25 a 12;PR20 a 26;PR26 a 20;PR28 a 22;PR22 a 28;PR11 a 25;PR25 a 11;;PR0a100;PR0a100;PR4 a 6;PR6 a 4;N13>A86;A86>A13;A86>N13;A13>A86;PR0a10;PR0a10;PR75 a 80;PR0 a 8;PR8 a 12;PR80 a 75;PR8 a 0;PR12 a 8;;PR0 a 3;PR3 a 5;PR5 a 10;PR10 a 12;PR12 a 16;PR16 a 23;PR23 a 30;PR30 a 35;PR3 a 0;PR4 a 2;PR10 a 4;PR12 a 10;PR16 a 12;PR23 a 16;PR30 a 23;PR35 a 30
AGER Nord Eragny;A15 Y;PR6 a 10;b;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A15 Y;PR10 a 22;x;b;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A15 W;PR22 a 10;;;b;x;;x;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A15 W;PR10 a 6;;;x;b;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A115 Y;PR0 a 10;x;x;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A115 W;PR10 a 0;;;x;x;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N14 Y;PR20 a 40;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N14 W;PR20 a 40;;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Int;PR0 a 2;;;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Int;PR2 a 10;;;x;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Int;PR10 a 14;;;x;;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Int;PR14 a 19;;;;;;;;;;;;b;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Ext;PR2 a 0;;;;;;;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Ext;PR10 a 2;;;;;;;;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Ext;PR14 a 10;;;;;;;;;;;;;;;b;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N184 Ext;PR19 a 14;;;;;;;;;;;;;;;;b;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N104N Int;PR0 a 9;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N104N Int;PR9 a 22;;;;;;;;;;;x;x;;;;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N104N Ext;PR9 a 0;;;;;;;;;;;;;;;;x;;;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N104N Ext;PR22 a 9;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGER Nord SD;A1 Y;Chapelle>BDL;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;x;x;x;x;;;;;;;;;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
;A1 Y;Chapelle>Roissy;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;x;x;x;x;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
;A1 Y;Chapelle>ADP;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;x;x;x;x;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
;A1 Y;Chapelle>SANEF;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;x;x;x;x;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
;A1 Y;Soissons>Roissy;;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A1 Y;Soissons>ADP;;;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A1 Y;Soissons>SANEF;;;;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A1 W;BDL>Chapelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;n;
